,formula,ident,sg_num,pearson,gii,gii_softBV
2827,IrO2,251567,205,cP12,0.1606437269,0.356915
2828,Y2Ru2O7,73799,227,cF88,0.1606500588,0.09733299999999999
2829,MnTe2O5,280967,60,oP32,0.1606897833,0.074007
2830,Ba(GdSe2)2,615880,62,oP28,0.1607244117,
2831,LiEuO2,422560,62,oP16,0.1607585432,0.200642
2832,YTaO4,109190,15,mC24,0.1608834687,0.19605899999999998
2833,Ti4CoS8,624872,12,mC26,0.1608923722,0.5395
2834,VInO4,80360,12,mC48,0.1608986979,0.099894
2835,Au2Se4O11,15495,15,mC68,0.1609294424,0.155989
2836,SrBiO3,85173,14,mP20,0.1611701902,0.174918
2837,Na2Ti6O13,182965,12,mC42,0.1611772309,0.144973
2838,Ni(PO3)2,35730,15,mC72,0.16122304410000002,0.181368
2839,CeTa3O9,66281,12,mC52,0.161223376,0.114105
2840,LaCoO3,189375,167,hR10,0.16131338280000002,0.104086
2841,NaIn3S5,426706,55,oP36,0.1613601894,0.11977499999999999
2842,NaCuO2,80561,12,mC8,0.1614034781,0.13558599999999998
2843,Na2Ge4O9,189269,165,hP90,0.1615040419,0.11382099999999999
2844,LaVO3,63520,62,oP20,0.1616556378,0.041102
2845,CaMn2O4,34117,57,oP28,0.1617304329,0.15191000000000002
2846,CdGe2O5,23039,2,aP16,0.1618278176,0.097436
2847,Nd(YS2)3,645882,11,mP20,0.1619231318,0.063901
2848,La2Zr2O7,15165,227,cF88,0.16192767530000002,0.196905
2849,EuTa2O6,402209,62,oP36,0.1619716262,0.08297399999999999
2850,SrYb2O4,15123,62,oP28,0.1619842193,0.12310099999999999
2851,BaPSe3,412768,14,mP20,0.1619996678,
2852,ErMnO3,159311,62,oP20,0.1620541393,0.09364499999999999
2853,NiWO4,15852,13,mP12,0.16212846390000002,0.125127
2854,Y2Sn2O7,24193,227,cF88,0.16212951280000001,0.060218
2855,V2O3,257272,206,cI80,0.162167301,0.125826
2856,TlV5S8,651260,12,mC28,0.1621974743,0.16766499999999998
2857,SrFeO3,163228,221,cP5,0.1622430902,0.145012
2858,CsSb2F7,14119,15,mC40,0.1622645781,0.052881
2859,Na4GeSe4,60086,62,oP72,0.1624103369,0.083233
2860,ZnPbF6,15107,148,hR8,0.16246523740000002,0.11136199999999999
2861,LaTaO4,238801,36,oC24,0.1624810432,0.052093999999999994
2862,KTmS2,244222,166,hR4,0.16253771120000002,0.148889
2863,TbTaO4,109187,15,mC24,0.16263306090000001,0.158249
2864,VP2O7,93022,4,mP20,0.16274121460000002,0.148787
2865,NaBiF6,15120,148,hR8,0.1627658468,0.283389
2866,CaFeO2,246244,113,tP8,0.1627724293,0.196684
2867,Ca3Ti2O7,63705,36,oC48,0.1628699627,0.11634599999999999
2868,CaZrO3,97464,62,oP20,0.1628822426,0.171242
